用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id
1169475573654093,漂亮羽毛,2025.10.11,贵州,真的快调到1000块,0,7549791357377334538
102795161505,001,2025.10.11,云南,,1,7549791357377334538
75807545141,年年有瑜,2025.10.10,广东,根深蒂固[发怒],2,7549791357377334538
4871435336811,一生只为独行,2025.10.09,辽宁,在一次偶然的暂停中，截到了哪吒,4,7549791357377334538
2329223965451460,用户1773185297535,2025.10.09,安徽,啊，你管这叫哪吒二？,1,7549791357377334538
2500744050915648,26494917858,2025.10.09,云南,@知我者有几 @仌 都说没看过哪吒2活着干啥[呲牙],1,7549791357377334538
2801982734603368,你告别好干脆,2025.10.09,广西,你们这些内存占太大了 看我的[图片表情],3,7549791357377334538
2637072210601323,纪启晨,2025.10.09,浙江,脑子:刚才什么东西窜过去了,1,7549791357377334538
2500744050915648,26494917858,2025.10.09,云南,@知我者有几 @仌 都说没看过哪吒2活着干啥[呲牙],1,7549791357377334538
740425573599484,柒柒酱,2025.10.11,河南,我中间只看见一个根深蒂固。,0,7549791357377334538
2801982734603368,你告别好干脆,2025.10.09,广西,你们这些内存占太大了 看我的[图片表情],3,7549791357377334538
2637072210601323,纪启晨,2025.10.09,浙江,脑子:刚才什么东西窜过去了,1,7549791357377334538
3924596666934432,小狸花,2025.10.09,江西,？……我看了个啥,0,7549791357377334538
741535233616259,总李.,2025.10.09,山东,我看520遍，是不是就看完一集了？[发呆],0,7549791357377334538
3013101746394942,will心花,2025.10.09,浙江,刚想长按加速就放完了[图片表情],1,7549791357377334538
738504536232558,养只吃饭的猫,2025.10.09,广东,好滴，我看完了,2,7549791357377334538
7535457766326338620,天府夜归人,2025.10.09,四川,太慢了不好看,0,7549791357377334538
3654419822152780,平流层王子,2025.10.09,山东,根深蒂固,0,7549791357377334538
314927766054864,溫玖,2025.10.08,中国台湾,家豪：还是慢了,0,7549791357377334538
2827544581126027,崔艳美好生活,2025.10.08,广东,3200倍,4,7549791357377334538
105220066623,2019.😁9❤️猪宝宝,2025.10.08,内蒙古,开三倍速给我叫成大分子,3,7549791357377334538
98230089177,用户5641031828416,2025.10.08,云南,我又外加了三倍,0,7549791357377334538
1297900866636011,我是佳悦,2025.10.08,广东,,2,7549791357377334538
87692931564,我是萨比,2025.10.08,安徽,我们再开个二倍速,0,7549791357377334538
4369937350267227,我最可爱,2025.10.08,福建,我没看过，可是我看明白了。,0,7549791357377334538
1801475349287929,蛋小猫(喜欢蛋小粉)。冲200粉！！！,2025.10.08,湖北,大概就是这么快的话，10秒看完我数了[憨笑],0,7549791357377334538
109641179631,四个孩子的奶奶,2025.10.08,河南,我用手机在家三倍速,0,7549791357377334538
301696744171758,毅念,2025.10.08,重庆,提前看过,0,7549791357377334538
2705239271813502,“困困鱼🐟”,2025.10.08,河北,[666][666][666],0,7549791357377334538
740425573599484,柒柒酱,2025.10.11,河南,我中间只看见一个根深蒂固。,0,7549791357377334538
2201668864711924,萧辰,2025.10.08,湖南,我感觉没看,0,7549791357377334538
104247126301,紫依,2025.10.08,陕西,这对吗,0,7549791357377334538
2867948660982531,♥萌一萌♥,2025.10.08,北京,,0,7549791357377334538
96339562203,踣之,2025.10.08,四川,我直接520x3倍速直接秒了[黑脸],0,7549791357377334538
2892155720055484,以前“我没有朋友，但是我有娘”,2025.10.08,河北,"以前“我没有朋友，但是我有娘”
现在“我有朋友，但我没有了娘”",3,7549791357377334538
3601616584843499,珠光,2025.10.08,广东,那我用三倍数的话，不就是1560倍,0,7549791357377334538
4111790458278269,洁儿,2025.10.08,陕西,主播能不能放慢点？求求你了，求求你了，求求你了，求求你了，求求你了，求求你了，求求你了，你放慢点吧，求求你了，求求你了，求求你放慢点啊。,0,7549791357377334538
1099938802176659,和平精英名字:贝亚大皇666,2025.10.08,内蒙古,请问阁下我这是多少倍,2,7549791357377334538
1931205574144799,DDD......,2025.10.08,河北,根深蒂固,0,7549791357377334538
448194572714507,挽巷,2025.10.08,山东,,0,7549791357377334538
1245119092374843,开心最好,2025.10.08,安徽,666,0,7549791357377334538
119216781657399,目标,2025.10.08,河南,,1,7549791357377334538
3368530966480232,辽宁圹…好,2025.10.08,河南,开三倍速试试,0,7549791357377334538
2878975279114634,我是魈的狗！,2025.10.08,吉林,[图片表情],0,7549791357377334538
1724485476290685,牛仔很忙,2025.10.08,江西,时间太长了吧,0,7549791357377334538
3632417042086376,¹悲伤𝙆𝙞𝙩𝙩𝙮猫/.,2025.10.08,山东,我不行了哈哈哈哈哈哈哈,0,7549791357377334538
