用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id,scores,segmented
675516177723754,王公子 晚7:40,2025.10.11,内蒙古,[666][666][666][666],0,7559867871112596762,0.421874597530976,[ 666 ] [ 666 ] [ 666 ] [ 666 ]
1943589088399981,时尚穿搭女装,2025.10.11,贵州,666,0,7559867871112596762,0.5,666
2036724870944408,陈健,2025.10.11,河北,[666],0,7559867871112596762,0.5,[ 666 ]
1943589088399981,时尚穿搭女装,2025.10.11,贵州,666,0,7559867871112596762,0.5,666
655733950002959,涵涵,2025.10.11,山东,这个哪吒好帅 你喜欢谁 我喜欢和哪吒点赞的,0,7559867871112596762,0.9955707322346318,哪吒 好帅   喜欢   喜欢 哪吒 点赞
1794858547677677,英英,2025.10.11,广东,[666][666][666][666][衰][666],0,7559867871112596762,0.5419038157310074,[ 666 ] [ 666 ] [ 666 ] [ 666 ] [ 衰 ] [ 666 ]
3997442930116135,用户6232725468772,2025.10.11,河南,[666][666][666],0,7559867871112596762,0.44767845850986676,[ 666 ] [ 666 ] [ 666 ]
79300514540,梦想成真qian,2025.10.11,河南,@敖丙一夫人。,0,7559867871112596762,0.9551242470392222,@ 敖丙一 夫人 。
4327325019415064,gjj,2025.10.11,江苏,[666][666][666],0,7559867871112596762,0.44767845850986676,[ 666 ] [ 666 ] [ 666 ]
110878809816,用户56284683,2025.10.11,湖南,[玫瑰][玫瑰][尴尬流汗][尴尬流汗][杀马特][杀马特],0,7559867871112596762,0.40596304575470155,[ 玫瑰 ] [ 玫瑰 ] [ 尴尬 流汗 ] [ 尴尬 流汗 ] [ 杀马特 ] [ 杀马特 ]
77545379195,玖贰,2025.10.11,浙江,孤独和干啥,0,7559867871112596762,0.9256082136879179,孤独 干
655733950002959,涵涵,2025.10.11,山东,666,0,7559867871112596762,0.5,666
104766621911,奥特曼578557755777🤎,2025.10.11,江苏,666,0,7559867871112596762,0.5,666
71576946449,幸运咖要幸运,2025.10.09,河南,想干啥 为什么不带我 我生气了,0,7559222726255775002,0.09900555440797743,想 干   不带   生气
1002366132558764,炭烤小肥杨.,2025.10.09,河南,有幸和有村架纯合照了[图片表情],0,7559222726255775002,0.8360464183136773,有幸 村架 纯 合照 [ 图片 表情 ]
1481763626425908,沐沐I，💙💙，《好物推荐》,2025.10.10,福建,[玫瑰][玫瑰][玫瑰][爱心][爱心][爱心],1,7559408948286229769,0.9996707285028307,[ 玫瑰 ] [ 玫瑰 ] [ 玫瑰 ] [ 爱心 ] [ 爱心 ] [ 爱心 ]
7132482952,🔮ℒᎭℯ⃝江࿐마네키네코ꪮꪰꪤ💞💯,2025.10.10,韩国,[比心],0,7559408948286229769,0.5,[ 比心 ]
7552081310510384188,我猫走走,2025.10.11,江苏,右下角放个蛋糕啥意思啊？,1,7559981409441385780,0.20307665602006342,右下角 放个 蛋糕 啥意思 ？
3400150333784104,4uoki,2025.10.11,辽宁,这个好米呀,0,7559812649359052089,0.6353847236539106,好米
3262959449541031,y༠°,2025.10.11,辽宁,呦哈,0,7559812649359052089,0.2500000000000001,呦
3474054709518589,如果你也听周柏豪,2025.10.11,辽宁,慧慧宝贝,0,7559812649359052089,0.7870513239697398,慧慧 宝贝
2893556646152286,青鱼📸,2025.10.11,辽宁,也啧啧啧啧啧啧[抠鼻],0,7559812649359052089,0.005702782331901357,啧啧 啧啧 啧啧 [ 抠 鼻 ]
2766806900280926,Klnln,2025.10.11,江西,又emo上了 丁,0,7559628718948977978,0.4127154219870006,emo 上   丁
2080711509541725,小绵羊塔罗🍳疗愈,2025.10.11,福建,顶美,0,7559628718948977978,0.8687226679314572,顶美
97800803344,Heokaiyee,2025.10.11,吉林,美神,0,7559628718948977978,0.5,美神
1481763626425908,沐沐I，💙💙，《好物推荐》,2025.10.10,福建,优秀的作品总能让人赏心悦目👍👍👍,0,7559337477393304858,0.9930921479150275,优秀 作品 总能 人 赏心悦目 👍 👍 👍
3203322809194896,东海第一烂皮jian狗敖丙,2025.10.11,河北,[图片表情],4,7559923103829396736,0.6533798506251355,[ 图片 表情 ]
